Post_ID,User_ID,Timestamp,Post_Content,Likes,Shares,Comments,Sentiment_Score
1,3763,2024-03-08 13:03:00,This is a sample post about social media trends!,8544,4433,1979,-0.44
2,6629,2024-02-09 15:30:00,This is a sample post about social media trends!,4139,350,864,0.91
3,4879,2024-01-17 20:28:00,This is a sample post about social media trends!,5693,2514,2058,0.42
4,6882,2024-01-05 13:51:00,This is a sample post about social media trends!,3636,1518,998,-0.44
5,2575,2024-03-07 16:12:00,This is a sample post about social media trends!,235,4147,2521,0.15
6,2972,2024-01-20 13:21:00,This is a sample post about social media trends!,7051,882,2669,-0.56
7,6053,2024-01-17 00:08:00,This is a sample post about social media trends!,1830,3528,2648,0.69
8,4672,2024-03-07 09:30:00,This is a sample post about social media trends!,1014,1665,2674,-0.67
9,1405,2024-02-06 02:56:00,This is a sample post about social media trends!,7842,4773,2498,-0.11
10,9696,2024-01-24 13:06:00,This is a sample post about social media trends!,1602,1921,2316,-0.24
11,7206,2024-01-09 21:42:00,This is a sample post about social media trends!,6188,3026,1587,-0.93
12,4228,2024-01-04 05:10:00,This is a sample post about social media trends!,8888,2661,301,0.86
13,8553,2024-01-23 07:31:00,This is a sample post about social media trends!,4138,389,439,0.69
14,8570,2024-02-07 02:18:00,This is a sample post about social media trends!,862,4303,944,-0.9
15,9943,2024-02-29 12:34:00,This is a sample post about social media trends!,7672,1963,2062,-0.59
16,3449,2024-01-10 00:42:00,This is a sample post about social media trends!,4699,2552,2725,-0.7
17,6849,2024-03-03 13:19:00,This is a sample post about social media trends!,8875,4030,133,-0.57
18,4537,2024-01-05 09:11:00,This is a sample post about social media trends!,2581,1685,734,-0.31
19,1816,2024-01-13 23:46:00,This is a sample post about social media trends!,1408,407,262,-0.9
20,6373,2024-01-16 17:36:00,This is a sample post about social media trends!,1283,1311,1886,-0.56
21,3624,2024-02-05 12:02:00,This is a sample post about social media trends!,158,2645,1586,-0.3
22,2980,2024-02-05 11:55:00,This is a sample post about social media trends!,6457,2320,850,0.96
23,5170,2024-01-21 23:21:00,This is a sample post about social media trends!,7555,130,372,-0.7
24,5516,2024-03-04 06:57:00,This is a sample post about social media trends!,248,2126,1573,-0.88
25,8161,2024-01-20 18:03:00,This is a sample post about social media trends!,1443,2377,301,0.52
26,1182,2024-02-21 13:40:00,This is a sample post about social media trends!,1219,2997,1465,-0.96
27,7569,2024-02-16 19:22:00,This is a sample post about social media trends!,2272,3880,1574,0.17
28,9710,2024-02-13 16:32:00,This is a sample post about social media trends!,9280,4728,1127,0.57
29,3801,2024-03-02 22:08:00,This is a sample post about social media trends!,3242,1919,574,0.55
30,2703,2024-01-06 19:02:00,This is a sample post about social media trends!,6866,360,1230,0.92
31,1304,2024-03-03 16:08:00,This is a sample post about social media trends!,5757,1348,203,0.69
32,4211,2024-02-26 18:07:00,This is a sample post about social media trends!,8694,1463,1147,0.93
33,4508,2024-01-20 15:15:00,This is a sample post about social media trends!,5282,655,1887,-0.6
34,2583,2024-01-03 14:33:00,This is a sample post about social media trends!,4782,1543,868,0.76
35,6056,2024-01-09 08:57:00,This is a sample post about social media trends!,1440,1694,1100,0.7
36,3823,2024-02-02 16:14:00,This is a sample post about social media trends!,7494,3886,202,0.7
37,8934,2024-02-24 17:07:00,This is a sample post about social media trends!,8156,3548,922,-0.85
38,7500,2024-02-07 06:18:00,This is a sample post about social media trends!,6,894,897,0.68
39,3188,2024-01-02 05:06:00,This is a sample post about social media trends!,387,4559,1403,-0.48
40,9062,2024-01-02 20:46:00,This is a sample post about social media trends!,2741,2989,452,-0.89
41,9756,2024-01-04 22:58:00,This is a sample post about social media trends!,9739,878,1337,0.94
42,7052,2024-02-08 04:47:00,This is a sample post about social media trends!,9788,3540,1531,-0.67
43,9241,2024-01-09 20:58:00,This is a sample post about social media trends!,8067,3144,2978,0.88
44,1909,2024-02-28 15:11:00,This is a sample post about social media trends!,5175,734,2202,0.52
45,1952,2024-01-15 03:29:00,This is a sample post about social media trends!,343,2982,2590,-0.8
46,5053,2024-01-16 08:01:00,This is a sample post about social media trends!,2003,2212,925,-0.9
47,8034,2024-01-09 08:39:00,This is a sample post about social media trends!,5507,2799,2605,-0.66
48,9720,2024-01-24 07:34:00,This is a sample post about social media trends!,1234,2444,2444,0.15
49,5121,2024-03-06 11:01:00,This is a sample post about social media trends!,1448,2139,1538,0.92
50,4572,2024-03-06 13:32:00,This is a sample post about social media trends!,2160,4719,701,-0.88
51,8574,2024-02-05 12:47:00,This is a sample post about social media trends!,2996,4862,2889,-0.2
52,5214,2024-02-22 03:50:00,This is a sample post about social media trends!,2760,3393,1391,-0.19
53,6610,2024-02-13 05:04:00,This is a sample post about social media trends!,1060,4432,1288,0.16
54,5382,2024-01-15 23:45:00,This is a sample post about social media trends!,3312,2686,373,-0.23
55,2324,2024-01-22 00:32:00,This is a sample post about social media trends!,2444,4030,201,0.82
56,6509,2024-03-06 12:54:00,This is a sample post about social media trends!,5048,4355,89,-0.23
57,7782,2024-01-22 22:46:00,This is a sample post about social media trends!,661,2510,2429,0.41
58,8303,2024-03-06 18:32:00,This is a sample post about social media trends!,5414,4832,544,-0.13
59,8447,2024-01-19 14:14:00,This is a sample post about social media trends!,7964,204,1097,0.44
60,9417,2024-02-21 08:58:00,This is a sample post about social media trends!,2533,1142,2776,0.95
61,8971,2024-01-13 17:05:00,This is a sample post about social media trends!,9678,3451,256,0.72
62,6665,2024-01-12 15:25:00,This is a sample post about social media trends!,8673,145,445,-0.15
63,6276,2024-01-23 03:06:00,This is a sample post about social media trends!,8115,318,2742,0.2
64,1777,2024-01-30 11:45:00,This is a sample post about social media trends!,3810,2558,2037,0.44
65,1482,2024-01-08 03:17:00,This is a sample post about social media trends!,3991,3259,2545,0.11
66,8038,2024-01-13 12:32:00,This is a sample post about social media trends!,3607,4414,2875,-0.36
67,4063,2024-02-25 19:47:00,This is a sample post about social media trends!,515,3425,511,0.36
68,4859,2024-01-25 04:08:00,This is a sample post about social media trends!,3937,2529,2813,0.71
69,3867,2024-01-11 14:43:00,This is a sample post about social media trends!,113,1756,1165,0.68
70,5115,2024-02-05 06:32:00,This is a sample post about social media trends!,5128,3205,1905,-0.48
71,7640,2024-03-03 20:53:00,This is a sample post about social media trends!,8023,3574,1939,0.92
72,1965,2024-02-08 00:32:00,This is a sample post about social media trends!,9905,52,690,-0.52
73,2961,2024-03-08 06:11:00,This is a sample post about social media trends!,6286,113,2944,0.21
74,6223,2024-01-09 23:57:00,This is a sample post about social media trends!,464,3412,2311,-0.08
75,9788,2024-03-07 04:54:00,This is a sample post about social media trends!,8538,4544,390,0.45
